debuggroup conf 0.08s welcome to circos 0.56-pre4
debuggroup textplace 50.19s placed hs6 12825818 13395507 PHACTR1
debuggroup textplace 50.19s placed hs6 157722544 158014964 ZDHHC14
debuggroup textplace 50.20s placed hs10 24023680 24876778 KIAA1217
debuggroup textplace 50.20s placed hs10 24537725 24876778 KIAA1217
debuggroup textplace 50.20s placed hs11 106063119 106394381 GUCY1A2
debuggroup textplace 50.20s placed hs11 116219329 116474203 KIAA0999
debuggroup textplace 50.20s placed hs11 35922187 36209417 LDLRAD3
debuggroup textplace 50.21s placed hs13 28496747 28978084 KIAA0774
debuggroup textplace 50.21s placed hs13 41038961 41433221 KIAA0564
debuggroup textplace 50.21s placed hs14 92869317 93243442 KIAA1409
debuggroup textplace 50.21s placed hs17 76133219 76554768 KIAA1303
debuggroup textplace 50.21s placed hs18 32663077 33059285 KIAA1328
debuggroup textplace 50.21s placed hs18 44319424 44643582 KIAA0427
debuggroup textplace 50.22s placed hs1 14797799 15264879 KIAA1026
debuggroup textplace 50.22s placed hs2 225973845 226226978 KIAA1486
debuggroup textplace 50.22s placed hs3 189542137 189913324 NP005569
debuggroup textplace 50.22s not_placed hs5 170221599 170659623 RANBP17
debuggroup textplace 50.22s placed hs8 48336094 48811028 KIAA0146
debuggroup textplace 50.22s placed hs9 20648308 20985954 KIAA1797
debuggroup textplace 50.23s placed hs10 14600564 14856902 FAM107B
debuggroup textplace 50.23s placed hs11 11249001 11600128 GALNTL4
debuggroup textplace 50.23s placed hs12 60388309 60872818 FAM19A2
debuggroup textplace 50.23s placed hs14 46379045 46882145 MAMDC1
debuggroup textplace 50.23s placed hs14 80032576 80475637 C14orf145
debuggroup textplace 50.24s placed hs20 13924145 15981839 C20orf133
debuggroup textplace 50.24s placed hs20 15125503 15981839 C20orf133
debuggroup textplace 50.24s placed hs22 47263951 47533750 FAM19A5
debuggroup textplace 50.24s placed hs2 154436671 155018735 GALNT13
debuggroup textplace 50.24s placed hs2 173308770 173625866 RAPGEF4
debuggroup textplace 50.25s placed hs3 122109608 122621338 STXBP5L
debuggroup textplace 50.25s placed hs3 68136143 68677459 FAM19A1
debuggroup textplace 50.25s placed hs4 172971231 174199284 GALNT17
debuggroup textplace 50.25s placed hs5 145949260 146238352 PPP2R2B
debuggroup textplace 50.25s not_placed hs5 80292313 80557709 RASGRF2
debuggroup textplace 50.25s placed hs7 94374884 94763661 PPP1R9A
debuggroup textplace 50.26s placed hs3 174089843 174341695 SPATA16
debuggroup textplace 50.26s placed hs9 128716873 129025264 RALGPS1
debuggroup textplace 50.26s placed hs10 12431588 12908141 CAMK1D
debuggroup textplace 50.26s placed hs10 51735351 52053743 TMEM23
debuggroup textplace 50.26s placed hs10 78299369 79067583 KCNMA1
debuggroup textplace 50.26s placed hs10 78314641 79067583 KCNMA1
debuggroup textplace 50.27s placed hs14 67356261 68014562 RAD51L1
debuggroup textplace 50.27s placed hs15 84486245 85373287 FLJ32310
debuggroup textplace 50.27s placed hs15 90197949 90507780 SLCO3A1
debuggroup textplace 50.27s placed hs17 62804385 63120107 PITPNC1
debuggroup textplace 50.27s placed hs1 59535327 60000986 FLJ10986
debuggroup textplace 50.28s placed hs1 85967505 86394709 COL24A1
debuggroup textplace 50.28s placed hs22 42255986 42539451 FLJ23588
debuggroup textplace 50.28s placed hs3 179736917 180044910 KCNMB2
debuggroup textplace 50.28s not_placed hs3 179759311 180044910 KCNMB2
debuggroup textplace 50.28s not_placed hs3 31677321 31998242 OSBPL10
debuggroup textplace 50.28s placed hs3 58702776 59010755 FLJ42117
debuggroup textplace 50.28s placed hs4 109954420 110443248 COL25A1
debuggroup textplace 50.29s placed hs4 109964489 110443248 COL25A1
debuggroup textplace 50.29s placed hs4 114593021 114902177 CAMK2D
debuggroup textplace 50.29s not_placed hs4 114595013 114902177 CAMK2D
debuggroup textplace 50.29s not_placed hs4 114597792 114902177 CAMK2D
debuggroup textplace 50.29s placed hs5 177597224 177950162 COL23A1
debuggroup textplace 50.29s placed hs6 70633168 70978878 COL19A1
debuggroup textplace 50.29s not_placed hs7 120416031 120724733 FLJ21986
debuggroup textplace 50.29s not_placed hs7 15206467 15568165 FLJ16237
debuggroup textplace 50.29s placed hs7 88226688 88804280 FLJ32110
debuggroup textplace 50.30s placed hs8 139669660 139995418 COL22A1
debuggroup textplace 50.30s placed hs10 127693414 128067055 ADAM12
debuggroup textplace 50.30s placed hs10 127719903 128067055 ADAM12
debuggroup textplace 50.30s placed hs12 84896655 85756776 MGAT4C
debuggroup textplace 50.30s placed hs13 76516792 76799178 MYCBP2
debuggroup textplace 50.31s placed hs1 6767970 7752350 CAMTA1
debuggroup textplace 50.31s placed hs4 95898150 96295099 BMPR1B
debuggroup textplace 50.31s placed hs7 95239837 95565658 DYNC1I1
debuggroup textplace 50.31s placed hs10 1218073 1769670 ADARB2
debuggroup textplace 50.31s placed hs10 13725712 14412872 FRMD4A
debuggroup textplace 50.31s placed hs11 124539768 124808493 PKNOX2
debuggroup textplace 50.32s placed hs11 125799612 126375701 KIRREL3
debuggroup textplace 50.32s placed hs12 114880765 115199526 THRAP2
debuggroup textplace 50.32s placed hs12 18305740 18692615 PIK3C2G
debuggroup textplace 50.32s placed hs12 38435091 38785928 SLC2A13
debuggroup textplace 50.32s placed hs12 970664 1472958 RAB6IP2
debuggroup textplace 50.33s placed hs12 97653201 98072603 ANKS1B
debuggroup textplace 50.33s placed hs12 97662126 98072603 ANKS1B
debuggroup textplace 50.33s placed hs17 51585834 51915006 ANKFN1
debuggroup textplace 50.33s placed hs1 75444868 75849357 SLC44A5
debuggroup textplace 50.33s placed hs20 19141289 19651540 SLC24A3
debuggroup textplace 50.33s placed hs22 24468119 24757007 MYO18B
debuggroup textplace 50.34s placed hs22 38770766 39061757 TNRC6B
debuggroup textplace 50.34s placed hs2 135674045 136005276 ZRANB3
debuggroup textplace 50.34s placed hs2 137464931 138151757 THSD7B
debuggroup textplace 50.34s placed hs2 162189090 162550032 SLC4A10
debuggroup textplace 50.34s placed hs3 127905807 128161934 CHCHD6
debuggroup textplace 50.35s placed hs4 147395627 147662535 SLC10A7
debuggroup textplace 50.35s placed hs5 11024951 11957110 CTNND2
debuggroup textplace 50.35s placed hs7 11380695 11838349 THSD7A
debuggroup textplace 50.35s placed hs7 132120162 132417368 CHCHD3
debuggroup textplace 50.35s placed hs9 19505977 19776926 SLC24A2
debuggroup textplace 50.35s placed hs9 70510435 70813910 PIP5K1B
debuggroup textplace 50.36s placed hs10 11087264 11418678 CUGBP2
debuggroup textplace 50.36s placed hs10 11099898 11418678 CUGBP2
debuggroup textplace 50.36s placed hs10 116843113 117698484 ATRNL1
debuggroup textplace 50.36s placed hs10 18469611 18870694 CACNB2
debuggroup textplace 50.36s not_placed hs10 18469815 18870694 CACNB2
debuggroup textplace 50.36s not_placed hs10 18589589 18870694 CACNB2
debuggroup textplace 50.36s placed hs10 32896656 33211796 C10orf68
debuggroup textplace 50.37s placed hs10 67349936 69125933 CTNNA3
debuggroup textplace 50.37s placed hs10 73797103 74055905 CBARA1
debuggroup textplace 50.37s placed hs10 77212524 77987132 C10orf11
debuggroup textplace 50.37s placed hs10 90023600 90332988 C10orf59
debuggroup textplace 50.37s placed hs10 90034695 90332950 C10orf59
debuggroup textplace 50.37s placed hs13 100504130 100866814 VGCNL1
debuggroup textplace 50.38s placed hs15 24799262 25451729 GABRG3
debuggroup textplace 50.38s placed hs15 47407883 47700410 C15orf33
debuggroup textplace 50.38s placed hs15 65622074 65886505 MAP2K5
debuggroup textplace 50.38s placed hs16 23754822 24134808 PRKCB1
debuggroup textplace 50.38s placed hs17 74597021 74990158 HRNBP3
debuggroup textplace 50.39s placed hs18 28771586 29274683 C18orf34
debuggroup textplace 50.39s placed hs1 160306204 160604852 NOS1AP
debuggroup textplace 50.39s placed hs1 232107301 232526885 SLC35F3
debuggroup textplace 50.39s placed hs1 2975603 3345043 PRDM16
debuggroup textplace 50.39s placed hs20 16200748 16502078 C20orf23
debuggroup textplace 50.40s placed hs20 19981195 20289349 C20orf26
debuggroup textplace 50.40s placed hs20 20321411 20641266 C20orf74
debuggroup textplace 50.40s placed hs21 16364712 16901413 C21orf34
debuggroup textplace 50.40s placed hs21 16488569 16901413 C21orf34
debuggroup textplace 50.40s placed hs2 109112428 109619489 SH3MD4
debuggroup textplace 50.41s placed hs2 205118760 206188782 PARD3B
debuggroup textplace 50.41s placed hs2 225338050 225615574 DOCK10
debuggroup textplace 50.41s placed hs2 72259951 72906685 EXOC6B
debuggroup textplace 50.41s placed hs2 79593633 80729415 CTNNA2
debuggroup textplace 50.41s placed hs3 157321041 157739087 KCNAB1
debuggroup textplace 50.41s placed hs3 157343444 157739087 KCNAB1
debuggroup textplace 50.42s placed hs3 17174902 17757403 TBC1D5
debuggroup textplace 50.42s placed hs3 173241079 173601180 FNDC3B
debuggroup textplace 50.42s placed hs4 46728335 47123202 GABRB1
debuggroup textplace 50.42s not_placed hs5 160648013 160907708 GABRB2
debuggroup textplace 50.42s placed hs5 9088137 9599233 SEMA5A
debuggroup textplace 50.42s placed hs6 118335381 118745523 SLC35F1
debuggroup textplace 50.43s placed hs6 121442325 121697343 C6orf170
debuggroup textplace 50.43s placed hs6 37895610 38230375 ZFAND3
debuggroup textplace 50.43s placed hs7 157024515 158073179 PTPRN2
debuggroup textplace 50.43s placed hs7 1821953 2239109 MAD1L1
debuggroup textplace 50.43s placed hs7 21549357 21907980 DNAH11
debuggroup textplace 50.43s placed hs8 119270875 119703365 SAMD12
debuggroup textplace 50.44s placed hs8 63324054 64066182 FAM77D
debuggroup textplace 50.44s placed hs9 100090186 100511300 GABBR2
debuggroup textplace 50.44s placed hs10 20145377 20609121 PLXDC2
debuggroup textplace 50.44s placed hs10 55250865 56231057 PCDH15
debuggroup textplace 50.44s placed hs12 106236326 106577549 BTBD11
debuggroup textplace 50.44s placed hs13 24844208 25493419 ATP8A2
debuggroup textplace 50.45s placed hs13 95251838 95503638 UGCGL2
debuggroup textplace 50.45s placed hs14 35077309 35348183 GARNL1
debuggroup textplace 50.45s placed hs15 47937727 48198711 ATP8B4
debuggroup textplace 50.45s placed hs15 83724874 84093590 AKAP13
debuggroup textplace 50.45s placed hs18 3488836 3835296 DLGAP1
debuggroup textplace 50.46s placed hs18 53862777 54216369 NEDD4L
debuggroup textplace 50.46s placed hs19 43089707 43390846 SIPA1L3
debuggroup textplace 50.46s placed hs2 236067474 236698853 CENTG2
debuggroup textplace 50.46s placed hs3 115540212 116348817 ZBTB20
debuggroup textplace 50.46s placed hs3 152287365 152634499 MED12L
debuggroup textplace 50.46s not_placed hs4 102163609 102487376 PPP3CA
debuggroup textplace 50.46s not_placed hs4 124063678 124455252 SPATA5
debuggroup textplace 50.46s placed hs4 167891112 168392316 SPOCK3
debuggroup textplace 50.47s placed hs5 136338887 136862917 SPOCK1
debuggroup textplace 50.47s placed hs5 143530629 143837137 KCTD16
debuggroup textplace 50.47s placed hs5 159922704 160211797 ATP10B
debuggroup textplace 50.47s placed hs6 20642666 21339743 CDKAL1
debuggroup textplace 50.47s placed hs6 44904448 45453648 SUPT3H
debuggroup textplace 50.48s placed hs6 44905427 45453553 SUPT3H
debuggroup textplace 50.48s placed hs7 110090345 110989583 IMMP2L
debuggroup textplace 50.48s not_placed hs7 121745713 122313790 CADPS2
debuggroup textplace 50.48s placed hs7 48208388 48657637 ABCA13
debuggroup textplace 50.48s placed hs7 82831157 83116260 SEMA3E
debuggroup textplace 50.48s placed hs9 6747653 7165647 JMJD2C
debuggroup textplace 50.48s placed hs10 106390848 107014983 SORCS3
debuggroup textplace 50.49s placed hs10 108323411 108914282 SORCS1
debuggroup textplace 50.49s placed hs11 72225438 72530739 FCHSD2
debuggroup textplace 50.49s placed hs12 28301399 28594365 CCDC91
debuggroup textplace 50.49s placed hs12 62524807 62823827 SRGAP1
debuggroup textplace 50.49s placed hs15 52092392 52708098 UNC13C
debuggroup textplace 50.50s placed hs15 63974692 64333129 MEGF11
debuggroup textplace 50.50s placed hs18 40535466 40898771 SETBP1
debuggroup textplace 50.50s placed hs1 12212699 12494683 VPS13D
debuggroup textplace 50.50s placed hs1 225244189 225572449 CDC42A
debuggroup textplace 50.50s placed hs1 231186504 231498082 PCNXL2
debuggroup textplace 50.50s placed hs1 74473672 74782696 TNNI3K
debuggroup textplace 50.51s placed hs2 178196222 178461712 PDE11A
debuggroup textplace 50.51s not_placed hs2 178202372 178495810 PDE11A
debuggroup textplace 50.51s not_placed hs3 8997277 9266311 SRGAP3
debuggroup textplace 50.51s placed hs4 7245372 7795463 SORCS2
debuggroup textplace 50.51s placed hs6 165664524 165995575 PDE10A
debuggroup textplace 50.51s placed hs6 57290380 57621334 PRIM2A
debuggroup textplace 50.51s placed hs7 39012932 39470915 POU6F2
debuggroup textplace 50.52s placed hs9 27938527 28709303 LRRN6C
debuggroup textplace 50.52s placed hs12 103374907 103676013 CHST11
debuggroup textplace 50.52s placed hs13 59137725 59636120 DIAPH3
debuggroup textplace 50.52s placed hs14 36736906 37090215 MIPOL1
debuggroup textplace 50.52s placed hs1 176330252 176710178 RASAL2
debuggroup textplace 50.52s placed hs2 121811824 122123522 CLASP1
debuggroup textplace 50.53s not_placed hs3 141136896 141769320 CLSTN2
debuggroup textplace 50.53s placed hs3 184378524 184628549 MCF2L2
debuggroup textplace 50.53s placed hs3 23219811 23607074 UBE2E2
debuggroup textplace 50.53s placed hs3 67507835 67787698 SUCLG2
debuggroup textplace 50.53s placed hs4 5104427 5553626 STK32B
debuggroup textplace 50.53s placed hs6 157140777 157572093 ARID1B
debuggroup textplace 50.54s not_placed hs10 25504295 25931161 GPR158
debuggroup textplace 50.54s placed hs12 13605410 14024319 GRIN2B
debuggroup textplace 50.54s placed hs13 95541093 96289812 HS6ST3
debuggroup textplace 50.54s placed hs15 74427592 74963247 ZNF291
debuggroup textplace 50.54s placed hs16 25610847 26056509 HS3ST4
debuggroup textplace 50.54s placed hs16 48082022 48418419 ZNF423
debuggroup textplace 50.55s placed hs16 9762922 10184112 GRIN2A
debuggroup textplace 50.55s placed hs17 27843740 28228015 MYO1D
debuggroup textplace 50.55s placed hs18 20895888 21186114 ZNF521
debuggroup textplace 50.55s placed hs18 70471906 70906616 ZNF407
debuggroup textplace 50.55s placed hs18 7557816 8396852 PTPRM
debuggroup textplace 50.55s placed hs21 40306212 41140909 DSCAM
debuggroup textplace 50.56s not_placed hs2 180014964 180434312 ZNF533
debuggroup textplace 50.56s placed hs2 43311478 43676617 THADA
debuggroup textplace 50.56s placed hs3 129355002 129610178 EEFSEC
debuggroup textplace 50.56s placed hs3 21437672 21767820 ZNF659
debuggroup textplace 50.56s placed hs4 143168631 143987054 INPP4B
debuggroup textplace 50.56s not_placed hs5 169713458 170096212 KCNIP1
debuggroup textplace 50.56s placed hs5 75734904 76039711 IQGAP2
debuggroup textplace 50.57s placed hs6 25387626 25728737 LRRC16
debuggroup textplace 50.57s not_placed hs7 103756339 104336237 LHFPL3
debuggroup textplace 50.57s not_placed hs10 26263007 26541471 MYO3A
debuggroup textplace 50.57s placed hs11 112337204 112641127 NCAM1
debuggroup textplace 50.57s placed hs11 114549554 114880451 CADM1
debuggroup textplace 50.57s placed hs11 131790086 132318247 OPCML
debuggroup textplace 50.57s placed hs11 95351087 95715992 MAML2
debuggroup textplace 50.57s placed hs12 29545025 29828959 TMTC1
debuggroup textplace 50.58s placed hs12 70952729 71345688 TRHDE
debuggroup textplace 50.58s placed hs12 81605064 82052194 TMTC2
debuggroup textplace 50.58s placed hs15 69905414 70197476 MYO9A
debuggroup textplace 50.58s placed hs18 45603098 45975382 MYO5B
debuggroup textplace 50.58s placed hs1 174180590 174442993 RFWD2
debuggroup textplace 50.58s placed hs1 183970305 184426708 HMCN1
debuggroup textplace 50.59s placed hs1 41748271 42156782 HIVEP3
debuggroup textplace 50.59s placed hs21 21292503 21833085 NCAM2
debuggroup textplace 50.59s not_placed hs2 170742900 171219231 MYO3B
debuggroup textplace 50.59s not_placed hs2 196772221 197165580 HECW2
debuggroup textplace 50.59s placed hs2 40192790 40510948 SLC8A1
debuggroup textplace 50.59s not_placed hs3 144466754 145049979 SLC9A9
debuggroup textplace 50.59s placed hs4 140856997 141294683 MAML3
debuggroup textplace 50.59s placed hs4 142006174 142274066 RNF150
debuggroup textplace 50.60s placed hs4 72271866 72656663 SLC4A4
debuggroup textplace 50.60s placed hs5 107223347 107745010 FBXL17
debuggroup textplace 50.60s not_placed hs5 110587980 110848645 CAMK4
debuggroup textplace 50.60s placed hs5 37415168 37788529 WDR70
debuggroup textplace 50.60s placed hs6 15354505 15630231 JARID2
debuggroup textplace 50.60s placed hs7 102240915 102502251 FBXL13
debuggroup textplace 50.61s not_placed hs7 33911047 34162009 BMPER
debuggroup textplace 50.61s placed hs7 43118722 43569463 HECW1
debuggroup textplace 50.61s placed hs8 40507269 40874500 ZMAT4
debuggroup textplace 50.61s placed hs8 89118575 89408833 MMP16
debuggroup textplace 50.61s placed hs8 89150576 89408833 MMP16
debuggroup textplace 50.61s placed hs9 72339785 72673794 TRPM3
debuggroup textplace 50.61s placed hs10 128584012 129140769 DOCK1
debuggroup textplace 50.62s placed hs10 35575958 35898672 C10orf9
debuggroup textplace 50.62s placed hs11 103283124 103540237 PDGFD
debuggroup textplace 50.62s placed hs11 75203859 75532929 UVRAG
debuggroup textplace 50.62s placed hs12 15366753 15641602 PTPRO
debuggroup textplace 50.62s placed hs12 61324030 61614932 PPM1H
debuggroup textplace 50.62s placed hs12 80177486 80677240 PPFIA2
debuggroup textplace 50.63s placed hs13 100902966 101166794 ITGBL1
debuggroup textplace 50.63s placed hs13 98243744 98536661 DOCK9
debuggroup textplace 50.63s placed hs15 41953021 42274721 FRMD5
debuggroup textplace 50.63s placed hs17 11442472 11813788 DNAH9
debuggroup textplace 50.63s placed hs17 61729387 62237324 PRKCA
debuggroup textplace 50.64s placed hs18 13208794 13642748 C18orf1
debuggroup textplace 50.64s placed hs1 237858995 238139338 CHRM3
debuggroup textplace 50.64s placed hs1 243979267 244647334 SMYD3
debuggroup textplace 50.64s placed hs1 33752195 34404030 CSMD2
debuggroup textplace 50.64s not_placed hs2 167468220 167824505 CMYA3
debuggroup textplace 50.64s not_placed hs2 185171337 185512457 C2orf10
debuggroup textplace 50.64s placed hs2 196310671 196641781 DNAH7
debuggroup textplace 50.64s placed hs2 44442606 44853233 C2orf34
debuggroup textplace 50.65s placed hs3 101019370 101380136 C3orf26
debuggroup textplace 50.65s not_placed hs3 160474237 161097833 SCHIP1
debuggroup textplace 50.65s placed hs3 50687675 51396668 DOCK3
debuggroup textplace 50.65s placed hs3 85858321 86200638 IGSF4D
debuggroup textplace 50.65s placed hs5 13745038 13997589 DNAH5
debuggroup textplace 50.65s placed hs5 168996870 169442959 DOCK2
debuggroup textplace 50.66s placed hs5 7449342 7883194 ADCY2
debuggroup textplace 50.66s not_placed hs5 92979530 93436221 C5orf21
debuggroup textplace 50.66s not_placed hs5 94068956 94442942 MCTP1
debuggroup textplace 50.66s placed hs6 128331624 128883416 PTPRK
debuggroup textplace 50.66s placed hs6 16407322 16869700 ATXN1
debuggroup textplace 50.66s placed hs6 38798529 39106545 DNAH8
debuggroup textplace 50.66s placed hs6 89376707 89730067 RNGTT
debuggroup textplace 50.66s placed hs7 111153400 111633698 DOCK4
debuggroup textplace 50.67s placed hs7 40141099 40866882 C7orf10
debuggroup textplace 50.67s placed hs8 113304332 114458558 CSMD3
debuggroup textplace 50.67s placed hs8 126173276 126448543 C8orf36
debuggroup textplace 50.67s placed hs8 131861728 132123854 ADCY8
debuggroup textplace 50.67s placed hs8 2782789 4839736 CSMD1
debuggroup textplace 50.68s placed hs8 69512701 69893810 C8orf34
debuggroup textplace 50.68s placed hs9 15543096 15961895 C9orf93
debuggroup textplace 50.68s placed hs9 17125037 17493915 C9orf39
debuggroup textplace 50.68s placed hs9 8304246 10602509 PTPRD
debuggroup textplace 50.68s placed hs9 85052126 85343168 FRMD3
debuggroup textplace 50.68s placed hs10 123738678 124004045 TACC2
debuggroup textplace 50.69s placed hs11 12652544 12922875 TEAD1
debuggroup textplace 50.69s placed hs11 2422796 2826915 KCNQ1
debuggroup textplace 50.69s placed hs11 2439259 2826915 KCNQ1
debuggroup textplace 50.69s placed hs11 30843061 31105751 DCDC5
debuggroup textplace 50.69s placed hs11 98397080 99732682 CNTN5
debuggroup textplace 50.69s placed hs12 39372624 39750361 CNTN1
debuggroup textplace 50.70s placed hs13 65774967 66702464 PCDH9
debuggroup textplace 50.70s placed hs13 70910098 71339331 DACH1
debuggroup textplace 50.70s placed hs13 94470090 94751684 ABCC4
debuggroup textplace 50.70s placed hs14 29115439 29466650 PRKD1
debuggroup textplace 50.70s placed hs14 31100428 31399259 NUBPL
debuggroup textplace 50.70s placed hs14 31868273 32372018 AKAP6
debuggroup textplace 50.71s placed hs14 62243699 62581708 KCNH5
debuggroup textplace 50.71s placed hs14 62248710 62638337 KCNH5
debuggroup textplace 50.71s placed hs14 77939845 79400511 NRXN3
debuggroup textplace 50.71s placed hs14 78815434 79400511 NRXN3
debuggroup textplace 50.71s placed hs14 90076685 90352514 TTC7B
debuggroup textplace 50.72s placed hs15 69220841 69862776 THSD4
debuggroup textplace 50.72s placed hs15 86220991 86600665 NTRK3
debuggroup textplace 50.72s placed hs15 86321598 86600665 NTRK3
debuggroup textplace 50.72s placed hs17 28364220 28644119 ACCN1
debuggroup textplace 50.72s placed hs18 19523559 19789025 LAMA3
debuggroup textplace 50.72s placed hs18 32131699 32614016 FHOD3
debuggroup textplace 50.73s placed hs18 74930384 75239268 ATP9B
debuggroup textplace 50.73s placed hs1 107484267 107825994 NTNG1
debuggroup textplace 50.73s placed hs1 188333419 188713382 FAM5C
debuggroup textplace 50.73s placed hs1 194461535 194844122 KCNT2
debuggroup textplace 50.73s placed hs1 208923177 209374080 KCNH1
debuggroup textplace 50.73s placed hs1 243384909 243933051 KIF26B
debuggroup textplace 50.74s placed hs1 39319704 39725376 MACF1
debuggroup textplace 50.74s placed hs20 40134805 41251971 PTPRT
